category_name,name,rating,votes,address
Banquet_Halls,V A K Vijaya Mahal,3.7,288,"ranampet, Gudiyattam, Gudiyattam Railway Station, Vellore - 635803"
Banquet_Halls,Thuluva Velaalar Marriage H..,3.8,286,"toorvellore Highway (Sh9), Suthanthira Ponvizha Nagar, Gandhi Nagar, Gandhi Nagar East, Vellore - 632006"
Banquet_Halls,Hotel Kumaran Millenium Res..,3.7,286,",, Katpadi Highway Road Thiru Nagar, Thiru Nagar, Vellore - 632006, Near Rangalaya Kalyana Mandapam"
Banquet_Halls,Nathan Mahal,3.5,265,"a Nayagam, Krishna Nagar Extension, Tollgate, Palavansathu, Rn Palayam Road, Rn Palayam, Vellore - 632001"
Banquet_Halls,RAMANI SHANKAR MAHAL,4.5,265,"48, Chennai, Vellore - 632517"
Banquet_Halls,Btm Mahal,3.6,261,"24, BTM Mahal, 1st West Cross Road, Gandhi Nagar Vellore, Vellore - 632006, Near Silk Mill Bus Stop"
Banquet_Halls,S J S Mahal Sholighur,3.7,261,"linghur, Sholingur, Vellore - 631102"
Banquet_Halls,KKR Manikkammal Mahal,4.0,198,"apulam , Puthur Vellore, Sh126, Arcot, Arcot, Arakkonam Ocheri Road, Panapakkam, Vellore - 631052"
Banquet_Halls,R N Function Palace Kalayan..,3.9,198,"23, Officers Line, Vellore Ho, Vellore - 632001"
Banquet_Halls,Mangalaraman Marriage Hall,3.5,186,"ariyastreet , Ezhil Nagar, Krishna Nagar, Rv Nagar, Ezhi Nagar Road, Krishna Nagar, Vellore - 632001"
Banquet_Halls,Royal Palace Kalyana Mandap..,3.8,186,"304, Bangalore Road, Vellore Ho, Vellore - 632001, Konavattam"
Banquet_Halls,Sri Lalitha Mahal,3.8,186,"upattur, Tirupattur - 635601, Near State Bank"
Banquet_Halls,Hasini Mahal,3.6,186,"ruvalam, Vellore - 632515"
Banquet_Halls,R N Function Palace,3.9,228," 92, Officers Line, Anna Nagar, Vellore - 632001, Next Rani Mahal"
Banquet_Halls,Nandini Mahal,4.3,228,". Vattam, Jolarpettai, Vellore, Palnankuppam Kootu Road, Palnankuppam Kootu Roadtirupathur Main Road, Jolarpettai, Vellore - 635851"
Banquet_Halls,Vkr Mahal,3.8,185,"24b, Sannathi Veedhi, Pallikonda, Vellore - 635809, Near Ranganathar Temple"
Banquet_Halls,Sri Vishnu Mahal,3.5,185," Road, Walajapet, Vellore - 632513"
Banquet_Halls,Priya Mahal,3.5,141,"ayam, Vellore, Arni Road, Bagayam, Vellore - 632002, Otteri Bus Stop"
Banquet_Halls,Priya Mahal,3.5,141,"2/91, Otteri Road-Bagayam, Vellore - 632002, Otteri Bus Stop"
Banquet_Halls,M L Marriage Hall,3.8,141,"padi, Vellore - 632007, VIT College Road, Old Katpadi Near Chennai Bakery"
Banquet_Halls,Radha Manjunath Marriage Ha..,3.4,141,"127, Pallikonda, Vellore - 635809"
Banquet_Halls,G K Mahal,3.7,140,"upet, Annasalai Main Road, Melvishram Vellore, Vellore - 632509, Melvisharam"
Banquet_Halls,MTS Thirumanamandapam,3.7,140,"ruthani Road, Sholingur, Vellore - 631102, Opposite Hp Petrol Bunk"
Banquet_Halls,Vpn Mahal,3.8,139," Mahal 3A, Annadhana Cahathiram Road, Sholingur, Vellore - 631102, Near Thakangulam"
Banquet_Halls,M.m.e.s Function Hall,4.4,139,", Navlock, Annasalai Main Road, Melvishram Vellore, Vellore - 632509, Opps Uamantpet Mark"
Banquet_Halls,Sri Selva Vinayagar Mahal,4.1,133,"pamaram St, Velapadi, Vellore - 632001"
Banquet_Halls,Dg Mahal,3.9,133,"asamangalam Bus Stop, KATPADI VELLORE, Vellore - 632002"
Banquet_Halls,Ammai Appar G S Mahal,3.8,121,"4E, Arcot Main Road, Alamelumangapuram, Vellore - 632009, Opposite Krishna Mahal"
Banquet_Halls,Ranjan Mahal,3.6,121," Road, Poigai, Vellore - 632114"
Banquet_Halls,Vasavi Kalyanamandapam,3.5,117,"16/40, Kannigaparameswari Koil Street, Vellore Bazaar, Vellore - 632004"
Banquet_Halls,Baby Mahal,3.5,117,"ional Highway 46, Abdullah Puram, Vellore - 632010"
Banquet_Halls,Dhanabagyam Kalyana Mandapa..,3.6,116,"hanthira Ponvizha Nagar, 4th East Main Road, Gandhi Nagar East, Vellore - 632006, Gandhi Nagar"
Banquet_Halls,Ajb Mahal,3.7,116,"1, Durgha Street, Tirupattur Fort, Vellore - 635602, Near Kottai Sivan Kovil"
